1,Neutral,8
1,very difficult,1
1,Einfach,10
1,very easy,17
2,Neutral,6
2,Einfach,5
2,very easy,24
2,difficult,1
3,Neutral,5
3,Einfach,14
3,very easy,17
4,Neutral,9
4,Einfach,11
4,very easy,12
4,difficult,4
5,Neutral,5
5,Einfach,14
5,very easy,12
5,difficult,5
6,Neutral,5
6,Einfach,9
6,very easy,22
7,Neutral,8
7,Einfach,15
7,very easy,11
7,difficult,2
8,Neutral,8
8,Einfach,14
8,very easy,12
8,difficult,2
9,Neutral,11
9,very difficult,1
9,Einfach,9
9,very easy,5
9,difficult,8
10,Neutral,10
10,Einfach,13
10,very easy,11
10,difficult,1
11,very difficult,1
11,Neutral,8
11,Einfach,7
11,very easy,6
11,difficult,11
12,Neutral,6
12,Einfach,16
12,very easy,9
12,difficult,3
13,Neutral,8
13,Einfach,16
13,very easy,5
13,difficult,6
14,Neutral,8
14,Einfach,14
14,very easy,5
14,difficult,8
15,Neutral,13
15,very difficult,1
15,Einfach,7
15,very easy,9
15,difficult,4
16,Neutral,10
16,Einfach,12
16,very easy,5
16,difficult,7
17,Neutral,8
17,Einfach,17
17,very easy,5
17,difficult,4
18,very difficult,4
18,Neutral,9
18,Einfach,10
18,very easy,2
18,difficult,10
19,very difficult,4
19,Neutral,11
19,Einfach,3
19,very easy,3
19,difficult,9
20,very difficult,1
20,Neutral,10
20,Einfach,10
20,very easy,5
20,difficult,9
